week,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
2025-10-06,Jambi,265.0,2,-8.25,132.5
2025-10-06,Jawa Barat,1903.0,27,-9.481,70.481
2025-10-06,Jawa Tengah,422.0,7,-9.714,60.286
2025-10-06,Jawa Timur,1696.0,22,-9.341,77.091
2025-10-06,Kalimantan Barat,19.0,1,-9.5,19.0
2025-10-06,Kalimantan Tengah,299.0,4,-9.875,74.75
2025-10-06,Kepulauan Bangka Belitung,830.0,8,-9.688,103.75
2025-10-06,Lampung,80.0,2,-10.0,40.0
2025-10-06,Nusa Tenggara Timur,280.0,3,-9.333,93.333
2025-10-06,Papua,288.0,7,-9.714,41.143
2025-10-06,Papua Barat,550.0,6,-9.833,91.667
2025-10-06,Riau,362.5,5,-7.9,72.5
2025-10-06,Sulawesi Selatan,2881.5,38,-8.961,75.829
2025-10-06,Sulawesi Tengah,235.0,3,-9.833,78.333
2025-10-06,Sulawesi Utara,257.0,3,-9.667,85.667
2025-10-06,Sumatera Selatan,320.0,4,-10.0,80.0
2025-10-06,Sumatera Utara,1059.0,15,-9.2,70.6
2025-10-06,Unknown,223.0,4,-9.625,55.75
2025-10-13,Aceh,100.0,1,-10.0,100.0
2025-10-13,Bali,120.0,2,-10.0,60.0
2025-10-13,Banten,570.0,12,-9.667,47.5
2025-10-13,Daerah Istimewa Yogyakarta,380.5,7,-7.857,54.357
2025-10-13,Dki Jakarta,3911.5,58,-8.828,67.44
2025-10-13,Gorontalo,75.0,1,-7.5,75.0
2025-10-13,Jambi,20.0,1,-10.0,20.0
2025-10-13,Jawa Barat,1223.0,17,-9.324,71.941
2025-10-13,Jawa Tengah,1173.0,19,-8.974,61.737
2025-10-13,Jawa Timur,2347.0,32,-9.312,73.344
